A,B,C,D,E
286,550,336,lblbzlxdgm,lmecjgmczy
171,355,261,fbvofigesg,weosbzwpxt
337,775,69,mtyjsvebda,zdtjamjnql
576,73,987,nymmmbobgk,iuzemasxup
333,76,636,mtyjsvebda,ascbzxjlhl
360,11,126,fbvofigesg,weosbzwpxt
,,,,
93,383,593,tlymfpehaj,zdtjamjnql
104,550,74,lblbzlxdgm,ascbzxjlhl
443,806,564,snqkmqrzga,lmecjgmczy
196,539,901,wqcffrrpco,lmecjgmczy
238,575,539,owxhsmekyp,ascbzxjlhl
950,994,195,owxhsmekyp,zdtjamjnql
862,71,821,nymmmbobgk,weosbzwpxt
104,713,111,nymmmbobgk,weosbzwpxt
399,14,186,snqkmqrzga,zdtjamjnql
106,80,86,snqkmqrzga,lmecjgmczy
903,644,786,xcpzyeuplr,zdtjamjnql
309,284,467,wqcffrrpco,ascbzxjlhl
,,,,
900,886,71,xcpzyeuplr,iuzemasxup
481,895,594,owxhsmekyp,weosbzwpxt
972,57,276,snqkmqrzga,iuzemasxup
687,219,66,wqcffrrpco,ascbzxjlhl
200,478,888,wqcffrrpco,weosbzwpxt
,,,,
763,660,89,snqkmqrzga,iuzemasxup
615,468,290,wqcffrrpco,zdtjamjnql
,,,,
301,693,275,owxhsmekyp,weosbzwpxt
371,896,11,ouradkbgcn,ascbzxjlhl
675,590,198,ouradkbgcn,zdtjamjnql
353,993,291,snqkmqrzga,weosbzwpxt
832,312,193,snqkmqrzga,lmecjgmczy
11,526,306,owxhsmekyp,ascbzxjlhl
126,378,376,xcpzyeuplr,weosbzwpxt
335,615,48,owxhsmekyp,ascbzxjlhl
682,90,413,owxhsmekyp,zdtjamjnql
509,156,205,lblbzlxdgm,iuzemasxup
556,501,104,tlymfpehaj,ascbzxjlhl
,,,,
521,661,527,fbvofigesg,lmecjgmczy
392,102,281,wqcffrrpco,ascbzxjlhl
37,142,326,tlymfpehaj,zdtjamjnql
,,,,
390,972,334,tlymfpehaj,ascbzxjlhl
712,653,161,tlymfpehaj,lmecjgmczy
,,,,
591,661,58,lblbzlxdgm,zdtjamjnql
745,119,187,lblbzlxdgm,iuzemasxup
676,559,409,fbvofigesg,weosbzwpxt
114,284,157,fbvofigesg,lmecjgmczy
399,734,266,lblbzlxdgm,zdtjamjnql
863,123,708,snqkmqrzga,lmecjgmczy
962,236,286,nymmmbobgk,iuzemasxup
,,,,
589,992,853,wqcffrrpco,ascbzxjlhl
830,672,857,fbvofigesg,iuzemasxup
543,628,313,wqcffrrpco,weosbzwpxt
766,352,321,ouradkbgcn,lmecjgmczy
612,37,913,ouradkbgcn,iuzemasxup
440,623,924,owxhsmekyp,zdtjamjnql
407,146,891,tlymfpehaj,lmecjgmczy
136,171,743,snqkmqrzga,iuzemasxup
,,,,
571,75,373,lblbzlxdgm,iuzemasxup
764,984,364,owxhsmekyp,ascbzxjlhl
273,830,176,ouradkbgcn,weosbzwpxt
983,793,81,mtyjsvebda,zdtjamjnql
80,105,863,wqcffrrpco,iuzemasxup
529,374,798,fbvofigesg,lmecjgmczy
901,499,961,ouradkbgcn,iuzemasxup
597,596,960,mtyjsvebda,zdtjamjnql
392,773,13,owxhsmekyp,lmecjgmczy
756,963,739,ouradkbgcn,iuzemasxup
457,167,112,fbvofigesg,zdtjamjnql
701,928,433,tlymfpehaj,lmecjgmczy
,,,,
782,98,5,ouradkbgcn,lmecjgmczy
683,562,2,ouradkbgcn,iuzemasxup
105,841,893,xcpzyeuplr,iuzemasxup
753,857,646,nymmmbobgk,weosbzwpxt
749,426,358,mtyjsvebda,weosbzwpxt
89,720,78,tlymfpehaj,iuzemasxup
834,812,113,tlymfpehaj,ascbzxjlhl
927,504,,nymmmbobgk,lmecjgmczy
,,,,
24,140,331,tlymfpehaj,ascbzxjlhl
783,645,797,snqkmqrzga,lmecjgmczy
195,658,827,lblbzlxdgm,lmecjgmczy
922,449,315,tlymfpehaj,zdtjamjnql
841,449,131,ouradkbgcn,weosbzwpxt
658,878,596,mtyjsvebda,ascbzxjlhl
804,825,816,wqcffrrpco,zdtjamjnql
477,422,240,nymmmbobgk,ascbzxjlhl
21,597,264,owxhsmekyp,lmecjgmczy
375,173,988,xcpzyeuplr,ascbzxjlhl
726,800,907,ouradkbgcn,iuzemasxup
,109,870,xcpzyeuplr,zdtjamjnql
455,470,314,lblbzlxdgm,lmecjgmczy
174,60,974,fbvofigesg,ascbzxjlhl
255,204,849,nymmmbobgk,iuzemasxup
499,545,184,fbvofigesg,iuzemasxup
531,202,225,lblbzlxdgm,iuzemasxup
60,532,715,tlymfpehaj,lmecjgmczy
718,192,604,fbvofigesg,iuzemasxup
,,,,
722,89,728,fbvofigesg,weosbzwpxt
343,361,821,nymmmbobgk,ascbzxjlhl
441,105,588,xcpzyeuplr,iuzemasxup
436,502,92,tlymfpehaj,weosbzwpxt
290,637,310,fbvofigesg,iuzemasxup
639,769,377,wqcffrrpco,lmecjgmczy
675,335,409,snqkmqrzga,ascbzxjlhl
,,,,
219,445,136,mtyjsvebda,lmecjgmczy
674,691,319,tlymfpehaj,iuzemasxup
201,403,503,tlymfpehaj,ascbzxjlhl
737,217,42,owxhsmekyp,weosbzwpxt
313,578,393,mtyjsvebda,weosbzwpxt
230,721,845,wqcffrrpco,iuzemasxup
420,712,427,lblbzlxdgm,lmecjgmczy
,,,,
535,50,900,fbvofigesg,lmecjgmczy
