All_isequal,A_df1,A_df2,A_isequal,B_df1,B_df2,B_isequal,C_df1,C_df2,C_isequal,D_df1,D_df2,D_isequal,E_df1,E_df2,E_isequal
True,286.0,286.0,True,550.0,550.0,True,336.0,336.0,True,lblbzlxdgm,lblbzlxdgm,True,lmecjgmczy,lmecjgmczy,True
True,171.0,171.0,True,355.0,355.0,True,261.0,261.0,True,fbvofigesg,fbvofigesg,True,weosbzwpxt,weosbzwpxt,True
True,337.0,337.0,True,775.0,775.0,True,69.0,69.0,True,mtyjsvebda,mtyjsvebda,True,zdtjamjnql,zdtjamjnql,True
True,576.0,576.0,True,73.0,73.0,True,987.0,987.0,True,nymmmbobgk,nymmmbobgk,True,iuzemasxup,iuzemasxup,True
True,333.0,333.0,True,76.0,76.0,True,636.0,636.0,True,mtyjsvebda,mtyjsvebda,True,ascbzxjlhl,ascbzxjlhl,True
True,360.0,360.0,True,11.0,11.0,True,126.0,126.0,True,fbvofigesg,fbvofigesg,True,weosbzwpxt,weosbzwpxt,True
False,978.0,,False,439.0,,False,995.0,,False,fbvofigesg,,False,ascbzxjlhl,,False
False,92.0,93.0,False,382.0,383.0,False,592.0,593.0,False,snqkmqrzga,tlymfpehaj,False,iuzemasxup,zdtjamjnql,False
True,104.0,104.0,True,550.0,550.0,True,74.0,74.0,True,lblbzlxdgm,lblbzlxdgm,True,ascbzxjlhl,ascbzxjlhl,True
True,443.0,443.0,True,806.0,806.0,True,564.0,564.0,True,snqkmqrzga,snqkmqrzga,True,lmecjgmczy,lmecjgmczy,True
True,196.0,196.0,True,539.0,539.0,True,901.0,901.0,True,wqcffrrpco,wqcffrrpco,True,lmecjgmczy,lmecjgmczy,True
True,238.0,238.0,True,575.0,575.0,True,539.0,539.0,True,owxhsmekyp,owxhsmekyp,True,ascbzxjlhl,ascbzxjlhl,True
True,950.0,950.0,True,994.0,994.0,True,195.0,195.0,True,owxhsmekyp,owxhsmekyp,True,zdtjamjnql,zdtjamjnql,True
True,862.0,862.0,True,71.0,71.0,True,821.0,821.0,True,nymmmbobgk,nymmmbobgk,True,weosbzwpxt,weosbzwpxt,True
True,104.0,104.0,True,713.0,713.0,True,111.0,111.0,True,nymmmbobgk,nymmmbobgk,True,weosbzwpxt,weosbzwpxt,True
True,399.0,399.0,True,14.0,14.0,True,186.0,186.0,True,snqkmqrzga,snqkmqrzga,True,zdtjamjnql,zdtjamjnql,True
True,106.0,106.0,True,80.0,80.0,True,86.0,86.0,True,snqkmqrzga,snqkmqrzga,True,lmecjgmczy,lmecjgmczy,True
True,903.0,903.0,True,644.0,644.0,True,786.0,786.0,True,xcpzyeuplr,xcpzyeuplr,True,zdtjamjnql,zdtjamjnql,True
True,309.0,309.0,True,284.0,284.0,True,467.0,467.0,True,wqcffrrpco,wqcffrrpco,True,ascbzxjlhl,ascbzxjlhl,True
False,648.0,,False,707.0,,False,609.0,,False,lblbzlxdgm,,False,ascbzxjlhl,,False
True,900.0,900.0,True,886.0,886.0,True,71.0,71.0,True,xcpzyeuplr,xcpzyeuplr,True,iuzemasxup,iuzemasxup,True
True,481.0,481.0,True,895.0,895.0,True,594.0,594.0,True,owxhsmekyp,owxhsmekyp,True,weosbzwpxt,weosbzwpxt,True
False,1000000.0,972.0,False,57.0,57.0,True,276.0,276.0,True,snqkmqrzga,snqkmqrzga,True,iuzemasxup,iuzemasxup,True
True,687.0,687.0,True,219.0,219.0,True,66.0,66.0,True,wqcffrrpco,wqcffrrpco,True,ascbzxjlhl,ascbzxjlhl,True
True,200.0,200.0,True,478.0,478.0,True,888.0,888.0,True,wqcffrrpco,wqcffrrpco,True,weosbzwpxt,weosbzwpxt,True
False,361.0,,False,930.0,,False,418.0,,False,tlymfpehaj,,False,iuzemasxup,,False
True,763.0,763.0,True,660.0,660.0,True,89.0,89.0,True,snqkmqrzga,snqkmqrzga,True,iuzemasxup,iuzemasxup,True
True,615.0,615.0,True,468.0,468.0,True,290.0,290.0,True,wqcffrrpco,wqcffrrpco,True,zdtjamjnql,zdtjamjnql,True
False,670.0,,False,894.0,,False,990.0,,False,wqcffrrpco,,False,iuzemasxup,,False
True,301.0,301.0,True,693.0,693.0,True,275.0,275.0,True,owxhsmekyp,owxhsmekyp,True,weosbzwpxt,weosbzwpxt,True
True,371.0,371.0,True,896.0,896.0,True,11.0,11.0,True,ouradkbgcn,ouradkbgcn,True,ascbzxjlhl,ascbzxjlhl,True
True,675.0,675.0,True,590.0,590.0,True,198.0,198.0,True,ouradkbgcn,ouradkbgcn,True,zdtjamjnql,zdtjamjnql,True
True,353.0,353.0,True,993.0,993.0,True,291.0,291.0,True,snqkmqrzga,snqkmqrzga,True,weosbzwpxt,weosbzwpxt,True
True,832.0,832.0,True,312.0,312.0,True,193.0,193.0,True,snqkmqrzga,snqkmqrzga,True,lmecjgmczy,lmecjgmczy,True
True,11.0,11.0,True,526.0,526.0,True,306.0,306.0,True,owxhsmekyp,owxhsmekyp,True,ascbzxjlhl,ascbzxjlhl,True
True,126.0,126.0,True,378.0,378.0,True,376.0,376.0,True,xcpzyeuplr,xcpzyeuplr,True,weosbzwpxt,weosbzwpxt,True
True,335.0,335.0,True,615.0,615.0,True,48.0,48.0,True,owxhsmekyp,owxhsmekyp,True,ascbzxjlhl,ascbzxjlhl,True
True,682.0,682.0,True,90.0,90.0,True,413.0,413.0,True,owxhsmekyp,owxhsmekyp,True,zdtjamjnql,zdtjamjnql,True
True,509.0,509.0,True,156.0,156.0,True,205.0,205.0,True,lblbzlxdgm,lblbzlxdgm,True,iuzemasxup,iuzemasxup,True
True,556.0,556.0,True,501.0,501.0,True,104.0,104.0,True,tlymfpehaj,tlymfpehaj,True,ascbzxjlhl,ascbzxjlhl,True
False,494.0,,False,640.0,,False,43.0,,False,snqkmqrzga,,False,iuzemasxup,,False
True,521.0,521.0,True,661.0,661.0,True,527.0,527.0,True,fbvofigesg,fbvofigesg,True,lmecjgmczy,lmecjgmczy,True
True,392.0,392.0,True,102.0,102.0,True,281.0,281.0,True,wqcffrrpco,wqcffrrpco,True,ascbzxjlhl,ascbzxjlhl,True
True,37.0,37.0,True,142.0,142.0,True,326.0,326.0,True,tlymfpehaj,tlymfpehaj,True,zdtjamjnql,zdtjamjnql,True
False,4.0,,False,686.0,,False,284.0,,False,lblbzlxdgm,,False,ascbzxjlhl,,False
True,390.0,390.0,True,972.0,972.0,True,334.0,334.0,True,tlymfpehaj,tlymfpehaj,True,ascbzxjlhl,ascbzxjlhl,True
True,712.0,712.0,True,653.0,653.0,True,161.0,161.0,True,tlymfpehaj,tlymfpehaj,True,lmecjgmczy,lmecjgmczy,True
False,870.0,,False,523.0,,False,753.0,,False,wqcffrrpco,,False,ascbzxjlhl,,False
True,591.0,591.0,True,661.0,661.0,True,58.0,58.0,True,lblbzlxdgm,lblbzlxdgm,True,zdtjamjnql,zdtjamjnql,True
True,745.0,745.0,True,119.0,119.0,True,187.0,187.0,True,lblbzlxdgm,lblbzlxdgm,True,iuzemasxup,iuzemasxup,True
True,676.0,676.0,True,559.0,559.0,True,409.0,409.0,True,fbvofigesg,fbvofigesg,True,weosbzwpxt,weosbzwpxt,True
True,114.0,114.0,True,284.0,284.0,True,157.0,157.0,True,fbvofigesg,fbvofigesg,True,lmecjgmczy,lmecjgmczy,True
True,399.0,399.0,True,734.0,734.0,True,266.0,266.0,True,lblbzlxdgm,lblbzlxdgm,True,zdtjamjnql,zdtjamjnql,True
True,863.0,863.0,True,123.0,123.0,True,708.0,708.0,True,snqkmqrzga,snqkmqrzga,True,lmecjgmczy,lmecjgmczy,True
True,962.0,962.0,True,236.0,236.0,True,286.0,286.0,True,nymmmbobgk,nymmmbobgk,True,iuzemasxup,iuzemasxup,True
False,193.0,,False,188.0,,False,722.0,,False,fbvofigesg,,False,ascbzxjlhl,,False
True,589.0,589.0,True,992.0,992.0,True,853.0,853.0,True,wqcffrrpco,wqcffrrpco,True,ascbzxjlhl,ascbzxjlhl,True
True,830.0,830.0,True,672.0,672.0,True,857.0,857.0,True,fbvofigesg,fbvofigesg,True,iuzemasxup,iuzemasxup,True
True,543.0,543.0,True,628.0,628.0,True,313.0,313.0,True,wqcffrrpco,wqcffrrpco,True,weosbzwpxt,weosbzwpxt,True
True,766.0,766.0,True,352.0,352.0,True,321.0,321.0,True,ouradkbgcn,ouradkbgcn,True,lmecjgmczy,lmecjgmczy,True
True,612.0,612.0,True,37.0,37.0,True,913.0,913.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
True,440.0,440.0,True,623.0,623.0,True,924.0,924.0,True,owxhsmekyp,owxhsmekyp,True,zdtjamjnql,zdtjamjnql,True
True,407.0,407.0,True,146.0,146.0,True,891.0,891.0,True,tlymfpehaj,tlymfpehaj,True,lmecjgmczy,lmecjgmczy,True
True,136.0,136.0,True,171.0,171.0,True,743.0,743.0,True,snqkmqrzga,snqkmqrzga,True,iuzemasxup,iuzemasxup,True
False,895.0,,False,711.0,,False,433.0,,False,nymmmbobgk,,False,lmecjgmczy,,False
True,571.0,571.0,True,75.0,75.0,True,373.0,373.0,True,lblbzlxdgm,lblbzlxdgm,True,iuzemasxup,iuzemasxup,True
True,764.0,764.0,True,984.0,984.0,True,364.0,364.0,True,owxhsmekyp,owxhsmekyp,True,ascbzxjlhl,ascbzxjlhl,True
True,273.0,273.0,True,830.0,830.0,True,176.0,176.0,True,ouradkbgcn,ouradkbgcn,True,weosbzwpxt,weosbzwpxt,True
True,983.0,983.0,True,793.0,793.0,True,81.0,81.0,True,mtyjsvebda,mtyjsvebda,True,zdtjamjnql,zdtjamjnql,True
True,80.0,80.0,True,105.0,105.0,True,863.0,863.0,True,wqcffrrpco,wqcffrrpco,True,iuzemasxup,iuzemasxup,True
True,529.0,529.0,True,374.0,374.0,True,798.0,798.0,True,fbvofigesg,fbvofigesg,True,lmecjgmczy,lmecjgmczy,True
True,901.0,901.0,True,499.0,499.0,True,961.0,961.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
True,597.0,597.0,True,596.0,596.0,True,960.0,960.0,True,mtyjsvebda,mtyjsvebda,True,zdtjamjnql,zdtjamjnql,True
True,392.0,392.0,True,773.0,773.0,True,13.0,13.0,True,owxhsmekyp,owxhsmekyp,True,lmecjgmczy,lmecjgmczy,True
True,756.0,756.0,True,963.0,963.0,True,739.0,739.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
True,457.0,457.0,True,167.0,167.0,True,112.0,112.0,True,fbvofigesg,fbvofigesg,True,zdtjamjnql,zdtjamjnql,True
False,700.0,701.0,False,927.0,928.0,False,432.0,433.0,False,wqcffrrpco,tlymfpehaj,False,weosbzwpxt,lmecjgmczy,False
False,291.0,,False,552.0,,False,906.0,,False,mtyjsvebda,,False,ascbzxjlhl,,False
True,782.0,782.0,True,98.0,98.0,True,5.0,5.0,True,ouradkbgcn,ouradkbgcn,True,lmecjgmczy,lmecjgmczy,True
True,683.0,683.0,True,562.0,562.0,True,2.0,2.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
True,105.0,105.0,True,841.0,841.0,True,893.0,893.0,True,xcpzyeuplr,xcpzyeuplr,True,iuzemasxup,iuzemasxup,True
True,753.0,753.0,True,857.0,857.0,True,646.0,646.0,True,nymmmbobgk,nymmmbobgk,True,weosbzwpxt,weosbzwpxt,True
True,749.0,749.0,True,426.0,426.0,True,358.0,358.0,True,mtyjsvebda,mtyjsvebda,True,weosbzwpxt,weosbzwpxt,True
True,89.0,89.0,True,720.0,720.0,True,78.0,78.0,True,tlymfpehaj,tlymfpehaj,True,iuzemasxup,iuzemasxup,True
True,834.0,834.0,True,812.0,812.0,True,113.0,113.0,True,tlymfpehaj,tlymfpehaj,True,ascbzxjlhl,ascbzxjlhl,True
False,927.0,927.0,True,504.0,504.0,True,,,False,nymmmbobgk,nymmmbobgk,True,lmecjgmczy,lmecjgmczy,True
False,240.0,,False,557.0,,False,753.0,,False,xcpzyeuplr,,False,zdtjamjnql,,False
True,24.0,24.0,True,140.0,140.0,True,331.0,331.0,True,tlymfpehaj,tlymfpehaj,True,ascbzxjlhl,ascbzxjlhl,True
False,782.0,783.0,False,644.0,645.0,False,796.0,797.0,False,snqkmqrzga,snqkmqrzga,True,iuzemasxup,lmecjgmczy,False
True,195.0,195.0,True,658.0,658.0,True,827.0,827.0,True,lblbzlxdgm,lblbzlxdgm,True,lmecjgmczy,lmecjgmczy,True
True,922.0,922.0,True,449.0,449.0,True,315.0,315.0,True,tlymfpehaj,tlymfpehaj,True,zdtjamjnql,zdtjamjnql,True
True,841.0,841.0,True,449.0,449.0,True,131.0,131.0,True,ouradkbgcn,ouradkbgcn,True,weosbzwpxt,weosbzwpxt,True
True,658.0,658.0,True,878.0,878.0,True,596.0,596.0,True,mtyjsvebda,mtyjsvebda,True,ascbzxjlhl,ascbzxjlhl,True
False,803.0,804.0,False,824.0,825.0,False,815.0,816.0,False,owxhsmekyp,wqcffrrpco,False,lmecjgmczy,zdtjamjnql,False
True,477.0,477.0,True,422.0,422.0,True,240.0,240.0,True,nymmmbobgk,nymmmbobgk,True,ascbzxjlhl,ascbzxjlhl,True
True,21.0,21.0,True,597.0,597.0,True,264.0,264.0,True,owxhsmekyp,owxhsmekyp,True,lmecjgmczy,lmecjgmczy,True
True,375.0,375.0,True,173.0,173.0,True,988.0,988.0,True,xcpzyeuplr,xcpzyeuplr,True,ascbzxjlhl,ascbzxjlhl,True
True,726.0,726.0,True,800.0,800.0,True,907.0,907.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
False,262.0,,False,108.0,109.0,False,869.0,870.0,False,ouradkbgcn,xcpzyeuplr,False,zdtjamjnql,zdtjamjnql,True
True,455.0,455.0,True,470.0,470.0,True,314.0,314.0,True,lblbzlxdgm,lblbzlxdgm,True,lmecjgmczy,lmecjgmczy,True
True,174.0,174.0,True,60.0,60.0,True,974.0,974.0,True,fbvofigesg,fbvofigesg,True,ascbzxjlhl,ascbzxjlhl,True
True,255.0,255.0,True,204.0,204.0,True,849.0,849.0,True,nymmmbobgk,nymmmbobgk,True,iuzemasxup,iuzemasxup,True
True,499.0,499.0,True,545.0,545.0,True,184.0,184.0,True,fbvofigesg,fbvofigesg,True,iuzemasxup,iuzemasxup,True
True,531.0,531.0,True,202.0,202.0,True,225.0,225.0,True,lblbzlxdgm,lblbzlxdgm,True,iuzemasxup,iuzemasxup,True
False,59.0,60.0,False,531.0,532.0,False,714.0,715.0,False,owxhsmekyp,tlymfpehaj,False,weosbzwpxt,lmecjgmczy,False
True,718.0,718.0,True,192.0,192.0,True,604.0,604.0,True,fbvofigesg,fbvofigesg,True,iuzemasxup,iuzemasxup,True
False,886.0,,False,879.0,,False,113.0,,False,tlymfpehaj,,False,iuzemasxup,,False
True,722.0,722.0,True,89.0,89.0,True,728.0,728.0,True,fbvofigesg,fbvofigesg,True,weosbzwpxt,weosbzwpxt,True
True,343.0,343.0,True,361.0,361.0,True,821.0,821.0,True,nymmmbobgk,nymmmbobgk,True,ascbzxjlhl,ascbzxjlhl,True
True,441.0,441.0,True,105.0,105.0,True,588.0,588.0,True,xcpzyeuplr,xcpzyeuplr,True,iuzemasxup,iuzemasxup,True
False,435.0,436.0,False,501.0,502.0,False,91.0,92.0,False,xcpzyeuplr,tlymfpehaj,False,zdtjamjnql,weosbzwpxt,False
True,290.0,290.0,True,637.0,637.0,True,310.0,310.0,True,fbvofigesg,fbvofigesg,True,iuzemasxup,iuzemasxup,True
True,639.0,639.0,True,769.0,769.0,True,377.0,377.0,True,wqcffrrpco,wqcffrrpco,True,lmecjgmczy,lmecjgmczy,True
True,675.0,675.0,True,335.0,335.0,True,409.0,409.0,True,snqkmqrzga,snqkmqrzga,True,ascbzxjlhl,ascbzxjlhl,True
False,674.0,,False,667.0,,False,961.0,,False,tlymfpehaj,,False,lmecjgmczy,,False
True,219.0,219.0,True,445.0,445.0,True,136.0,136.0,True,mtyjsvebda,mtyjsvebda,True,lmecjgmczy,lmecjgmczy,True
True,674.0,674.0,True,691.0,691.0,True,319.0,319.0,True,tlymfpehaj,tlymfpehaj,True,iuzemasxup,iuzemasxup,True
True,201.0,201.0,True,403.0,403.0,True,503.0,503.0,True,tlymfpehaj,tlymfpehaj,True,ascbzxjlhl,ascbzxjlhl,True
False,736.0,737.0,False,216.0,217.0,False,41.0,42.0,False,snqkmqrzga,owxhsmekyp,False,lmecjgmczy,weosbzwpxt,False
True,313.0,313.0,True,578.0,578.0,True,393.0,393.0,True,mtyjsvebda,mtyjsvebda,True,weosbzwpxt,weosbzwpxt,True
True,230.0,230.0,True,721.0,721.0,True,845.0,845.0,True,wqcffrrpco,wqcffrrpco,True,iuzemasxup,iuzemasxup,True
True,420.0,420.0,True,712.0,712.0,True,427.0,427.0,True,lblbzlxdgm,lblbzlxdgm,True,lmecjgmczy,lmecjgmczy,True
False,98.0,,False,308.0,,False,7.0,,False,fbvofigesg,,False,zdtjamjnql,,False
True,535.0,535.0,True,50.0,50.0,True,900.0,900.0,True,fbvofigesg,fbvofigesg,True,lmecjgmczy,lmecjgmczy,True
True,226.0,226.0,True,272.0,272.0,True,230.0,230.0,True,tlymfpehaj,tlymfpehaj,True,iuzemasxup,iuzemasxup,True
True,477.0,477.0,True,152.0,152.0,True,469.0,469.0,True,snqkmqrzga,snqkmqrzga,True,iuzemasxup,iuzemasxup,True
True,174.0,174.0,True,19.0,19.0,True,930.0,930.0,True,snqkmqrzga,snqkmqrzga,True,iuzemasxup,iuzemasxup,True
False,117.0,,False,748.0,,False,6.0,,False,mtyjsvebda,,False,lmecjgmczy,,False
False,905.0,906.0,False,476.0,477.0,False,679.0,680.0,False,snqkmqrzga,snqkmqrzga,True,iuzemasxup,weosbzwpxt,False
True,78.0,78.0,True,480.0,480.0,True,604.0,604.0,True,nymmmbobgk,nymmmbobgk,True,zdtjamjnql,zdtjamjnql,True
True,124.0,124.0,True,888.0,888.0,True,554.0,554.0,True,snqkmqrzga,snqkmqrzga,True,ascbzxjlhl,ascbzxjlhl,True
True,689.0,689.0,True,962.0,962.0,True,750.0,750.0,True,owxhsmekyp,owxhsmekyp,True,lmecjgmczy,lmecjgmczy,True
True,617.0,617.0,True,810.0,810.0,True,532.0,532.0,True,ouradkbgcn,ouradkbgcn,True,zdtjamjnql,zdtjamjnql,True
False,334.0,,False,33.0,,False,643.0,,False,wqcffrrpco,,False,weosbzwpxt,,False
True,396.0,396.0,True,303.0,303.0,True,838.0,838.0,True,snqkmqrzga,snqkmqrzga,True,zdtjamjnql,zdtjamjnql,True
True,56.0,56.0,True,135.0,135.0,True,629.0,629.0,True,fbvofigesg,fbvofigesg,True,iuzemasxup,iuzemasxup,True
True,837.0,837.0,True,748.0,748.0,True,405.0,405.0,True,mtyjsvebda,mtyjsvebda,True,ascbzxjlhl,ascbzxjlhl,True
True,758.0,758.0,True,976.0,976.0,True,638.0,638.0,True,fbvofigesg,fbvofigesg,True,lmecjgmczy,lmecjgmczy,True
True,546.0,546.0,True,986.0,986.0,True,403.0,403.0,True,tlymfpehaj,tlymfpehaj,True,ascbzxjlhl,ascbzxjlhl,True
True,469.0,469.0,True,224.0,224.0,True,681.0,681.0,True,ouradkbgcn,ouradkbgcn,True,iuzemasxup,iuzemasxup,True
True,505.0,505.0,True,225.0,225.0,True,373.0,373.0,True,owxhsmekyp,owxhsmekyp,True,iuzemasxup,iuzemasxup,True
True,862.0,862.0,True,622.0,622.0,True,327.0,327.0,True,tlymfpehaj,tlymfpehaj,True,zdtjamjnql,zdtjamjnql,True
False,604.0,605.0,False,125.0,126.0,False,296.0,297.0,False,lblbzlxdgm,tlymfpehaj,False,ascbzxjlhl,ascbzxjlhl,True
True,665.0,665.0,True,487.0,487.0,True,380.0,380.0,True,mtyjsvebda,mtyjsvebda,True,weosbzwpxt,weosbzwpxt,True
True,249.0,249.0,True,265.0,265.0,True,750.0,750.0,True,owxhsmekyp,owxhsmekyp,True,weosbzwpxt,weosbzwpxt,True
True,215.0,215.0,True,873.0,873.0,True,672.0,672.0,True,ouradkbgcn,ouradkbgcn,True,lmecjgmczy,lmecjgmczy,True
True,375.0,375.0,True,761.0,761.0,True,890.0,890.0,True,nymmmbobgk,nymmmbobgk,True,iuzemasxup,iuzemasxup,True
True,467.0,467.0,True,669.0,669.0,True,705.0,705.0,True,fbvofigesg,fbvofigesg,True,ascbzxjlhl,ascbzxjlhl,True
True,484.0,484.0,True,629.0,629.0,True,271.0,271.0,True,xcpzyeuplr,xcpzyeuplr,True,lmecjgmczy,lmecjgmczy,True
True,251.0,251.0,True,249.0,249.0,True,218.0,218.0,True,lblbzlxdgm,lblbzlxdgm,True,lmecjgmczy,lmecjgmczy,True
True,963.0,963.0,True,263.0,263.0,True,414.0,414.0,True,snqkmqrzga,snqkmqrzga,True,zdtjamjnql,zdtjamjnql,True
True,115.0,115.0,True,883.0,883.0,True,383.0,383.0,True,ouradkbgcn,ouradkbgcn,True,lmecjgmczy,lmecjgmczy,True
True,230.0,230.0,True,214.0,214.0,True,703.0,703.0,True,mtyjsvebda,mtyjsvebda,True,lmecjgmczy,lmecjgmczy,True
True,595.0,595.0,True,827.0,827.0,True,244.0,244.0,True,nymmmbobgk,nymmmbobgk,True,weosbzwpxt,weosbzwpxt,True
False,214.0,,False,30.0,,False,488.0,,False,tlymfpehaj,,False,iuzemasxup,,False
False,6.0,,False,263.0,,False,984.0,,False,snqkmqrzga,,False,zdtjamjnql,,False
True,110.0,110.0,True,10.0,10.0,True,509.0,509.0,True,nymmmbobgk,nymmmbobgk,True,lmecjgmczy,lmecjgmczy,True
True,450.0,450.0,True,666.0,666.0,True,160.0,160.0,True,snqkmqrzga,snqkmqrzga,True,zdtjamjnql,zdtjamjnql,True
